id,checksum,finished_at,migration_name,rolled_back_at,started_at,applied_steps_count
fdd2ccc5-b59f-4741-a69b-8cccab1dcdc5,f19293d38ab43de137a0f1701cf57825cabff4b0eb9eca13997fed903e8e0e5c,2026-06-27 03:34:49.986687+00,20260603230416_init,,2026-06-27 03:34:49.932294+00,1
412541a8-b207-4a94-8781-dce7fbf72590,cee2ed17977205a796e41bfee7e710a9532a93ab922e925b4b2b31930e977bf2,2026-06-27 03:34:49.997785+00,20260604000100_auth_multitenant,,2026-06-27 03:34:49.987412+00,1
435af291-a6b4-433c-bde2-55756e223d33,055b69164f55c987cc806ac6eb6b7c8b3382cedf5982587b07389d9d4f9f85b0,,20260604000200_bling_oauth,2026-06-27 15:40:13.911983+00,2026-06-27 03:34:49.998379+00,0
2fefe153-5fa6-443b-a28f-d5402fd86448,055b69164f55c987cc806ac6eb6b7c8b3382cedf5982587b07389d9d4f9f85b0,2026-06-27 15:40:13.913038+00,20260604000200_bling_oauth,,2026-06-27 15:40:13.913038+00,0
6aa8f6be-ae36-4262-8c01-2961ac1a0072,1aebebda9e2d224ba1937938ba64d7097fd170df0482774b41a94e3f89257aca,2026-06-27 15:40:23.892019+00,20260606000100_add_product_enrichment_drafts,,2026-06-27 15:40:23.885499+00,1
81109121-45da-407d-abf2-bad326eef4a2,3dc6d44ad96d85fc12375644b2d0b9f1e416587e0f5007c7bce38191176a6264,2026-06-27 15:40:23.896878+00,20260606000200_add_mercado_livre_oauth,,2026-06-27 15:40:23.892613+00,1
9e04284f-0d7a-4f8f-8c7f-c40ff945f8e3,3a8a86eb5a594f26b13af6df2ddc636d1f5f89369f9474abe7f2fc537751db0d,2026-06-27 15:40:23.899895+00,20260607000100_add_mercado_livre_ui_config,,2026-06-27 15:40:23.897355+00,1
0d7d9f84-ad6f-4ccb-9021-65bf6f4c04aa,a5e2a56effc6b404b0e9277a6176a9e8e6c27b25d175ca9f31c3d58332b41f79,2026-06-27 15:40:23.904564+00,20260607000200_add_generic_marketplace_connections,,2026-06-27 15:40:23.900401+00,1
c63cf971-6cb4-43fd-81fe-4334d71957f0,ec8df8cfa9b96d09d849dc9c8eb50b4455c4c787b0bb94978ad51b6819f83135,2026-06-27 15:40:23.909348+00,20260607000300_add_generic_erp_connections,,2026-06-27 15:40:23.905052+00,1
0df4d49c-c030-4d24-be97-b0bdb11c29fd,335781b32c0c714611f2ff8b7bedbe0f8cdad9edb503f9687978d361abbefb21,2026-06-27 15:40:23.917024+00,20260607000400_add_ai_jobs_and_suggestions,,2026-06-27 15:40:23.909854+00,1
e4a39315-590a-4c82-9d7c-9ff732ee2928,242bbc196118fcccb45c9d75b30097bb1afc0090feb51cd146ac3a921059f319,2026-06-27 15:40:23.922582+00,20260626000100_product_gtin_catalog,,2026-06-27 15:40:23.917506+00,1
6de0f913-db00-4dca-9628-920ca0b34767,1d35848463000461d73c2736f546b7300e7b3257cecc43e1c364d71a3672458c,2026-06-27 15:40:23.926222+00,20260626000200_internal_gtin_catalog_global,,2026-06-27 15:40:23.923075+00,1
f0d013c3-b720-4b7b-88af-4c3cac8c0a34,3601d00b18c7b15d7c81ea8dd465ae8f573c33c0fb4c338dd3963a4a710de1f8,2026-06-27 19:22:58.117041+00,20260627000100_bling_product_import_drafts,,2026-06-27 19:22:58.105805+00,1
0ea65553-ef28-4e63-8b7b-baff35bbd5c1,172801e8b5be03066660c652fd89397d7d6eb89179b3c9fb41f8462e8b234c6c,2026-06-28 08:47:38.678263+00,20260628000100_erp_sync_jobs,,2026-06-28 08:47:38.669637+00,1
2cd3896a-ee92-45dd-bb00-93ae2e4498e4,bb1181f4b37165d843288b3961da5f0baab9fff4062fedf96ac335590f095ac6,2026-06-28 19:14:58.57844+00,20260628000200_product_sku_nullable,,2026-06-28 19:14:58.575519+00,1
cf7768d3-16c2-4c27-90e6-651610760fd5,ec0f44009902ae32124dbf287856d7dfdce0badd1177689adb9a85da36092346,2026-06-28 20:01:05.088523+00,20260628000300_bling_draft_structured_fields,,2026-06-28 20:01:05.085054+00,1
02f8befd-b497-4757-a283-cac82499a84e,82ecc412949db45cff295174f56815a37cb49d3661f13d5fafd6d21117cddec6,2026-06-28 22:21:10.659959+00,20260628000400_internal_gtin_catalog_enrichment_fields,,2026-06-28 22:21:10.656902+00,1
5c657050-e72d-4d3e-ba6d-ad0eeb41ecd8,cdfe8b7aa8e9ad2455dc08b4372f67cbd00fd4944c374728d6312c9b8f08d2da,2026-06-28 22:42:35.975905+00,20260628000500_marketplace_category_mappings,,2026-06-28 22:42:35.966514+00,1
21e0d74a-a98e-451c-ba86-21341403cefe,c5965e1c26890dd8ebcb05588201075cfd0bdbd54912c22a5bb11d2e5a6321da,2026-06-28 23:43:57.758564+00,20260628000600_marketplace_category_catalog,,2026-06-28 23:43:57.74891+00,1
1375ed02-b67b-4e8f-8c12-a5240bc60e05,fda648d0da82c4edf3c03698f90981a125adbde92684eee83bcad6634bf225ae,2026-06-29 01:44:13.541179+00,20260628000700_audit_log_dangerous_actions,,2026-06-29 01:44:13.534336+00,1
1e6846d0-73f7-4c4f-be89-e3d5a649e660,0b9e107528a01a233b456135090c22b28ee37447e71c3c300508e1f13a091974,2026-06-29 02:23:40.823384+00,20260628000800_bling_multi_account_context,,2026-06-29 02:23:40.785221+00,1
b6a17bd9-39ad-4dfa-a491-03791ed1e3a6,84b4a15f04a3cccfc556d4963a88850b71a78d13b898f2628fd3778226e126c2,2026-06-29 06:17:16.510542+00,20260629000100_user_integration_context_preference,,2026-06-29 06:17:16.502664+00,1
fadebeb2-264c-47ed-ab04-734fa4073343,c60963454be953e9cb8b99350f4fd47654ccfa64c8236dddc12315ee9239fa1e,2026-06-29 07:58:55.903806+00,20260629000200_orders_account_context,,2026-06-29 07:58:55.891996+00,1
887c44eb-0b92-4d0b-911c-2194dbd62621,0a51adf16b6d1f596615d4ae6573cdeafc0d4bb262ca08c44cb9c407a1a5d8b7,2026-06-29 16:45:58.672009+00,20260629000300_order_bling_status_sync,,2026-06-29 16:45:58.667251+00,1
30faaea3-4bbb-4686-8ee9-5fb994a45773,aec161adb761891ac7096911460c64424bd59cf8f5ed541845bbdbe37b53ab4c,2026-06-29 20:32:27.132914+00,20260629000400_marketplace_product_attribute_values,,2026-06-29 20:32:27.122548+00,1
200624b8-ec13-44c3-b48f-f556a7b7e701,364bbe98f2ff996b0872d25b4c3c930d952bb7392abd51f30e86ae733f09a5c4,2026-06-30 23:05:42.46417+00,20260630000100_mercado_livre_oauth_readonly,,2026-06-30 23:05:42.459298+00,1
724d20ad-6169-40b6-9947-26f605a4efea,ee2faa2b4a9c9ee7278c7d303a51fcc24a2d188988ca2e5a191ab4a196515a03,2026-07-01 05:13:17.383464+00,20260701000100_mercado_livre_listing_cache,,2026-07-01 05:13:17.374013+00,1
dc34fc8c-3183-479b-bd91-1b22979c3550,68e81c88ef5e548b5830e7180620e14a1d777dd16a9b4c1320b92b830de6c37a,2026-07-01 07:13:56.629802+00,20260701000200_mercado_livre_reference_import,,2026-07-01 07:13:56.621752+00,1
daa0d908-7660-4e96-a8e6-d79ba2494f9b,dd76707addb032e693fe8531ed488813ad8cd2db47b1e003973add16a8caaa91,2026-07-01 19:48:00.668463+00,20260701000300_product_enrichment_history,,2026-07-01 19:48:00.659232+00,1
47d1d71d-09e1-452a-8de4-0b2e9fc0179e,4bb400add3d01b2e85680e23adf851f54fd1972da7cbdfee163465b5b471aa24,2026-07-14 02:48:06.713133+00,20260713000100_add_bling_connection_credentials,,2026-07-14 02:48:06.713133+00,0
dac1f3a1-63f4-47ce-812b-30eaed128ec9,0c0c08e5f8b9f3903e7fd1ad749110d275508a8aebd6a4038032ca456bc7b942,2026-07-16 21:08:12.999531+00,20260715000100_add_bling_product_detail_fields,,2026-07-16 21:08:12.999531+00,0
b590c809-1a6a-42e7-80fe-c98530d480b5,068c688ba7368a147c505df5c49128a9739587dad066082f4a7ef42227e7f3ca,2026-07-27 14:38:51.901312+00,20260727000100_add_product_full_sync_fields,,2026-07-27 14:38:51.901312+00,0
